Message,Label
"Oferta de zapatos, pague y lleve dos!, realice la consignación a la siguiente 
Cuenta bancaria, 54134551 ",spam
"Amplía las posibilidades de trabajo, suscribirte  en jobs.com
",spam
"30 de descuento  por la compra de un segundo artículo por favor revisar
En la página oficial de la tienda para más información",spam
"lleve dos pague tres jeans, para más información contacte a nuestros proveedores o visite nuestra tienda más cercana",spam
"no lo podrás creer! Acabas de de ganar el viaje de tus sueños, solo debes confirmar que aceptas
El premio en el siguiente link travelsecure/localowner/index.com",spam
"lleva con descuento la segunda prenda en tú marca preferida, visita nuestra tienda más cercana.",spam
gana dólares contactando el número +6730131,spam
"Dólares gratis aceptando el acuerdo de confidencialidad
Ingresar al siguiente link www.xcognit/nossh.com",spam
"Estamos contentos de comunicarte que acabas de ganar la motocicleta
Con la que soñabas, en el siguiente mensaje confirmanos tú número de identidad y tú teléfono celular.",spam
"nico te presta!!
 Si necesitas dinero solo debes enviarnos información sobre tú identificación, lugar y año de nacimiento, lugar y dirección de residencia",spam
"Bajar de peso nunca fue tan fácil, solo comunicate al teléfono +6512351",spam
Participa en las nuevas becas de la universidad,spam
"estamos buscando contratar gente para un proyecto con multinacional, solo necesitas la disponibilidad de  trabajar, dejanos
Algunos datos de contacto adicional como lugar de residencia y año de nacimiento junto con tú documento de indentidad ",spam
Quieres perder esos kilos adicionales solo debes pagar por el plan nutricional a la siguiente cuenta bancaria,spam
"aprovecha el blackfriday, podría ser tú oportunidad de renovar el closet!",spam
Tennis hasta 60% off,spam
últimas horas de descuento 30% off,spam
"es el día perfecto para estrenar, descuento en la tienda pero solo aplica para la segunda prenda",spam
haz tu investigación visible publicando en nuestra revista,spam
Hola revisamos tú perfil y cumples con todos los requisitos para ser seleccionado en este proceso el pago es en dólares contamos con flexibilidad horario contactanos,spam
"Quieres mejorar el rendimiento en el día, basta con probar nuestra rutina o plan de ejercicios solo por hoy paga con descuento",spam
"no te gusta el trabajo presencial entonces esta oportunidad es para ti, multinacional quiere darte la oportunidad de trabajar",spam
te acabas de ganar la lotería solo debes aceptar el premio y también confirmar la solicitud en el siguiente link,spam
invitación a publicar en nuestra revista solo debes pagar el recargo de suscripción  ,spam
"Nuevas tendencias en la educación, descubre los posgrados en nuestra universidad",jam
Conoce la información que necesitas para organizar tus pagos. Este es el estado de tus créditos Addi y el valor a pagar con corte a esta fecha,jam
Lamentamos informarte que la fecha de lanzamiento del siguiente artículo ha cambiado. La nueva fecha de entrega se indica a continuación. Nos disculpamos por las molestias. ,jam
"Hola, Aquí va adjunto el extracto de tu Tarjeta de Crédito MasterCard, correspondiente al mes de Abril 2024.",jam
Confirmamos que su inscripción para la vacante Profesional de Analítica de Datos ha sido recibida correctamente. ,jam
"Prepárate para enfrentar nuevos desafíos este año,  Únete a la Universidad N°1 de habla hispana en Latinoamérica, según el ranking QS",jam
"El pedido será entregado a la transportadora en las próximas 24 a 48 horas. Por favor, permita que se actualice la información de rastreo en sistema ",jam
"Hola Diana, espero que estés muy bien, me podrás regalar por favor todos los correos de pensamiento estratégico porfa ;)",jam
"Hola, al final de año que vuelva a la cidad, los busco y los llevo, también llevo algunos libros para donar, gracias.",jam
"Carlos, muchas gracias, ya lo estuve ojeando y se ve super interesante, gracias.",jam
"Hola, espero te encuentres muy bien, quería preguntarte si me puedes confirmar tú número  es este (312 536 58 95 ) ? es que no lo tengo, perdí el  de todos porque cambié de celular y se me perdieron algunos contactos. que tengas buen día :)",jam
"Hola a todos, tenemos un error en cómputo de las cantidades (ojo con los paréntesis). No hemos realizado análisis de lo obtenido",jam
"La próxima semana tendremos reunión con las empresas que nos apoyan en otros terceros, es indispensable que asistan para que conozcan más del flujo de trabajo",jam
" lo llame el día viernes a su celular, espero se encuentre bien, la presente es para solicitar de su colaboración para un proceso de calidad",jam
"Hemos detectado un nuevo inicio de sesión en tu cuenta de Google en un dispositivo Windows. Si has sido tú, no es necesario que hagas nada. De lo contrario, te ayudaremos a proteger la cuenta. ",jam
En la implementación de nuevos procesos de las diferentes áreas administrativas y contables. este comunicado reemplaza lo establecido antes de la fecha,jam
"Saludos, podrías porfavor compartinos el certificado de pago para poder despachar el envío",jam
"Bienvenido a nuestra plataforma de cursos, tú usuario y contraseña se encuentran a continuación.",jam
"el páquete está en tránsito, para su seguimiento revisar la guía con el número adjunto.",jam
La biblioteca nacional le recuerda que puede volver a solicitar cualquier ejemplar antes de la fecha de caducidad de su préstamo.,jam
"Hola!! me podrías porfavor regalar una recomendación  de trabajo, ya que fuiste mi primer jefe",jam
"Saludos cordiales, la presente es para comunicar la necesidad de tener buenas prácticas de comunicación empresarial",jam
"Hola, quería comunicarme contigo para cancelar la cita de hoy, se me presentó un imprevisto.",jam
"Quería confirmar recibido de la documentación, podrías enviarle esto a la persona encargada de archivar documentos importantes porfavor.",jam
este correo es aletorio pero no es un SPAM!,jam
"Saludos, podrías porfavor indicarme el costo anual de la inscripción?",jam
El siguiente correo es para solicitar comedidamente una certificación laboral .,jam
" te confirmo por este medio, la reunión  se llevará a cabo por plataforma teams mañana, temas a tratar;  técnicas de investigación e investigación de operaciones. ",jam
"casi no  me sirve el celular, leí el mensaje, empezamos la otra semana a mirar los temas, vamos a pasar a otro nivel de trabajo y orden, por lo tanto, lo primero que vamos a hacer es conocer la tecnología git usando github, necesitamos ponernos al día en esto, pues se diseñó para el trabajo colaborativo.",jam
